Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93450,	   5.31891,	  -0.00206
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11831,	   5.41619,	  -0.00650
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.62369,	  -3.14577,	  -0.00754
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.81670,	  -7.88144,	  -0.00778
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.77439,	  -7.96484,	  -0.00426
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93450,	   5.31891,	  -0.00206
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11643,	   5.40961,	   7.59088
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.27986,	  -7.85962,	   7.57523
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20464,	  -7.89057,	   7.61116
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.03344,	   5.38085,	   7.62695
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11643,	   5.40961,	   7.59088
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.01772,	   5.37940,	   9.06059
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.18876,	  -7.89081,	   9.05761
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.77439,	  -7.96484,	   9.06383
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93440,	   5.31109,	   9.06680
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.01772,	   5.37940,	   9.06059
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93450,	   5.31891,	  -0.00206
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11831,	   5.41619,	  -0.00650
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32537,	   5.41832,	   0.83873
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.31614,	   5.41310,	   6.73936
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.11643,	   5.40961,	   7.59088
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.03344,	   5.38085,	   7.62695
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.01772,	   5.37940,	   9.06059
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93440,	   5.31109,	   9.06680
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93450,	   5.31891,	  -0.00206
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.81670,	  -7.88144,	  -0.00778
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.77439,	  -7.96484,	  -0.00426
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.77439,	  -7.96484,	   9.06383
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.18876,	  -7.89081,	   9.05761
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20464,	  -7.89057,	   7.61116
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.27986,	  -7.85962,	   7.57523
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.47969,	  -7.85664,	   6.72323
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.48404,	  -7.85657,	   3.95974
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.82243,	  -7.86644,	   1.26648
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.81670,	  -7.88144,	  -0.00778
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93450,	   5.31891,	  -0.00206
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.77439,	  -7.96484,	  -0.00426
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.77439,	  -7.96484,	   9.06383
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93440,	   5.31109,	   9.06680
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.93450,	   5.31891,	  -0.00206
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.62369,	  -3.14577,	  -0.00754
