  -3934.4991000000,	    5318.9139000000,	      -2.0644000000 ; 		 //plane 0 point @1 
   3118.3105000000,	    5416.1909000000,	      -6.4979000000 ; 		 //plane 0 point @2 
   2623.6850000000,	   -3145.7704000000,	      -7.5376000000 ; 		 //plane 0 point @3 
   1816.7015000000,	   -7881.4441000000,	      -7.7762000000 ; 		 //plane 0 point @4 
  -3774.3944000000,	   -7964.8418000000,	      -4.2626000000 ; 		 //plane 0 point @5 
  -3934.4991000000,	    5318.9139000000,	      -2.0644000000 ; 		 //plane 0 point @6 
   3116.4340000000,	    5409.6115000000,	    7590.8765000000 ; 		 //plane 1 point @7 
   3279.8646000000,	   -7859.6194000000,	    7575.2283000000 ; 		 //plane 1 point @8 
   1204.6361000000,	   -7890.5738000000,	    7611.1602000000 ; 		 //plane 1 point @9 
   1033.4395000000,	    5380.8515000000,	    7626.9451000000 ; 		 //plane 1 point @10 
   3116.4340000000,	    5409.6115000000,	    7590.8765000000 ; 		 //plane 1 point @11 
   1017.7156000000,	    5379.3980000000,	    9060.5893000000 ; 		 //plane 2 point @12 
   1188.7559000000,	   -7890.8107000000,	    9057.6068000000 ; 		 //plane 2 point @13 
  -3774.3944000000,	   -7964.8418000000,	    9063.8335000000 ; 		 //plane 2 point @14 
  -3934.4049000000,	    5311.0924000000,	    9066.8033000000 ; 		 //plane 2 point @15 
   1017.7156000000,	    5379.3980000000,	    9060.5893000000 ; 		 //plane 2 point @16 
  -3934.4991000000,	    5318.9139000000,	      -2.0644000000 ; 		 //plane 3 point @17 
   3118.3105000000,	    5416.1909000000,	      -6.4979000000 ; 		 //plane 3 point @18 
   3325.3733000000,	    5418.3177000000,	     838.7255000000 ; 		 //plane 3 point @19 
   3316.1364000000,	    5413.1004000000,	    6739.3571000000 ; 		 //plane 3 point @20 
   3116.4340000000,	    5409.6115000000,	    7590.8765000000 ; 		 //plane 3 point @21 
   1033.4395000000,	    5380.8515000000,	    7626.9451000000 ; 		 //plane 3 point @22 
   1017.7156000000,	    5379.3980000000,	    9060.5893000000 ; 		 //plane 3 point @23 
  -3934.4049000000,	    5311.0924000000,	    9066.8033000000 ; 		 //plane 3 point @24 
  -3934.4991000000,	    5318.9139000000,	      -2.0644000000 ; 		 //plane 3 point @25 
   1816.7015000000,	   -7881.4441000000,	      -7.7762000000 ; 		 //plane 4 point @26 
  -3774.3944000000,	   -7964.8418000000,	      -4.2626000000 ; 		 //plane 4 point @27 
  -3774.3944000000,	   -7964.8418000000,	    9063.8335000000 ; 		 //plane 4 point @28 
   1188.7559000000,	   -7890.8107000000,	    9057.6068000000 ; 		 //plane 4 point @29 
   1204.6361000000,	   -7890.5738000000,	    7611.1602000000 ; 		 //plane 4 point @30 
   3279.8646000000,	   -7859.6194000000,	    7575.2283000000 ; 		 //plane 4 point @31 
   3479.6861000000,	   -7856.6388000000,	    6723.2272000000 ; 		 //plane 4 point @32 
   3484.0414000000,	   -7856.5738000000,	    3959.7434000000 ; 		 //plane 4 point @33 
   2822.4279000000,	   -7866.4426000000,	    1266.4779000000 ; 		 //plane 4 point @34 
   1816.7015000000,	   -7881.4441000000,	      -7.7762000000 ; 		 //plane 4 point @35 
  -3934.4991000000,	    5318.9139000000,	      -2.0644000000 ; 		 //plane 5 point @36 
  -3774.3944000000,	   -7964.8418000000,	      -4.2626000000 ; 		 //plane 5 point @37 
  -3774.3944000000,	   -7964.8418000000,	    9063.8335000000 ; 		 //plane 5 point @38 
  -3934.4049000000,	    5311.0924000000,	    9066.8033000000 ; 		 //plane 5 point @39 
  -3934.4991000000,	    5318.9139000000,	      -2.0644000000 ; 		 //plane 5 point @40 
   2623.6850000000,	   -3145.7704000000,	      -7.5376000000 ; 		 //plane 6 point @41 
   3118.3105000000,	    5416.1909000000,	      -6.4979000000 ; 		 //plane 6 point @42 
   3070.9696000000,	   -3150.3004000000,	     576.0724000000 ; 		 //plane 6 point @43 
   2623.6850000000,	   -3145.7704000000,	      -7.5376000000 ; 		 //plane 6 point @44 
   3325.3733000000,	    5418.3177000000,	     838.7255000000 ; 		 //plane 7 point @45 
   3118.3105000000,	    5416.1909000000,	      -6.4979000000 ; 		 //plane 7 point @46 
   3070.9696000000,	   -3150.3004000000,	     576.0724000000 ; 		 //plane 7 point @47 
   3429.1828000000,	   -3159.2416000000,	    2039.4296000000 ; 		 //plane 7 point @48 
   3325.3733000000,	    5418.3177000000,	     838.7255000000 ; 		 //plane 7 point @49 
   2822.4279000000,	   -7866.4426000000,	    1266.4779000000 ; 		 //plane 8 point @50 
   3070.9696000000,	   -3150.3004000000,	     576.0724000000 ; 		 //plane 8 point @51 
   3429.1828000000,	   -3159.2416000000,	    2039.4296000000 ; 		 //plane 8 point @52 
   3484.0414000000,	   -7856.5738000000,	    3959.7434000000 ; 		 //plane 8 point @53 
   2822.4279000000,	   -7866.4426000000,	    1266.4779000000 ; 		 //plane 8 point @54 
   2623.6850000000,	   -3145.7704000000,	      -7.5376000000 ; 		 //plane 9 point @55 
   1816.7015000000,	   -7881.4441000000,	      -7.7762000000 ; 		 //plane 9 point @56 
   2822.4279000000,	   -7866.4426000000,	    1266.4779000000 ; 		 //plane 9 point @57 
   3070.9696000000,	   -3150.3004000000,	     576.0724000000 ; 		 //plane 9 point @58 
   2623.6850000000,	   -3145.7704000000,	      -7.5376000000 ; 		 //plane 9 point @59 
   3325.3733000000,	    5418.3177000000,	     838.7255000000 ; 		 //plane 10 point @60 
   3429.1828000000,	   -3159.2416000000,	    2039.4296000000 ; 		 //plane 10 point @61 
   3484.0414000000,	   -7856.5738000000,	    3959.7434000000 ; 		 //plane 10 point @62 
   3479.6861000000,	   -7856.6388000000,	    6723.2272000000 ; 		 //plane 10 point @63 
   3316.1364000000,	    5413.1004000000,	    6739.3571000000 ; 		 //plane 10 point @64 
   3325.3733000000,	    5418.3177000000,	     838.7255000000 ; 		 //plane 10 point @65 
   3316.1364000000,	    5413.1004000000,	    6739.3571000000 ; 		 //plane 11 point @66 
   3479.6861000000,	   -7856.6388000000,	    6723.2272000000 ; 		 //plane 11 point @67 
   3279.8646000000,	   -7859.6194000000,	    7575.2283000000 ; 		 //plane 11 point @68 
   3116.4340000000,	    5409.6115000000,	    7590.8765000000 ; 		 //plane 11 point @69 
   3316.1364000000,	    5413.1004000000,	    6739.3571000000 ; 		 //plane 11 point @70 
   1033.4395000000,	    5380.8515000000,	    7626.9451000000 ; 		 //plane 12 point @71 
   1204.6361000000,	   -7890.5738000000,	    7611.1602000000 ; 		 //plane 12 point @72 
   1188.7559000000,	   -7890.8107000000,	    9057.6068000000 ; 		 //plane 12 point @73 
   1017.7156000000,	    5379.3980000000,	    9060.5893000000 ; 		 //plane 12 point @74 
   1033.4395000000,	    5380.8515000000,	    7626.9451000000 ; 		 //plane 12 point @75 
