Point Id,,,,,,Easting,Northing,Elevation
DEFAULT23,,,,,,,,
1,,,,,,-0.0001,5.0133,1.2933
2,,,,,,-0.6636,-0.9456,0.0109
3,,,,,,-0.6645,-0.9243,0.0097
4,,,,,,-0.6324,-0.9571,0.0103
5,,,,,,-0.6677,-0.8732,-0.002
6,,,,,,-0.7795,-1.0195,-0.0001
7,,,,,,-0.6444,-1.0981,-0.0014
8,,,,,,-0.5175,-0.8821,9.0553
9,,,,,,-0.618,-1.0937,9.0562
10,,,,,,-0.7498,-0.9689,9.0562
11,,,,,,-3.815,4.9643,0.1457
12,,,,,,-3.8108,4.9586,3.076
13,,,,,,-3.8039,4.9495,5.3024
14,,,,,,-3.8043,4.9498,7.0454
15,,,,,,-3.8137,4.9621,8.8349
16,,,,,,-3.4261,4.9629,8.9145
17,,,,,,-3.4249,4.9611,6.8052
18,,,,,,-3.4285,4.9666,4.5612
19,,,,,,-3.4293,4.9679,2.3252
20,,,,,,-3.4299,4.969,0.2412
21,,,,,,-2.0895,4.9889,0.3515
22,,,,,,-2.0895,4.9885,3.186
23,,,,,,-2.0999,4.9847,5.2616
24,,,,,,-2.0095,4.9888,7.2329
25,,,,,,-2.0109,4.9922,8.8912
26,,,,,,-1.4683,4.9993,8.9428
27,,,,,,-1.4662,4.9921,7.1204
28,,,,,,-1.4647,4.9876,5.0239
29,,,,,,-1.4648,4.9877,2.802
30,,,,,,-1.4791,4.9961,0.1138
31,,,,,,-0.1575,5.0059,0.225
32,,,,,,-0.1576,5.0079,2.458
33,,,,,,-0.1578,5.0091,5.0937
34,,,,,,-0.1578,5.0089,6.83
35,,,,,,-0.1579,5.0071,8.6277
36,,,,,,0.3364,5.0146,8.6512
37,,,,,,0.3362,5.0112,6.5712
38,,,,,,0.3365,5.0142,4.5424
39,,,,,,0.3368,5.0162,2.2377
40,,,,,,0.3369,5.0176,0.3099
41,,,,,,1.7229,5.0429,0.2513
42,,,,,,1.722,5.0404,2.405
43,,,,,,1.7217,5.0392,4.0402
44,,,,,,1.7206,5.036,5.3517
45,,,,,,1.714,5.0168,7.1261
46,,,,,,2.282,5.0247,7.2295
47,,,,,,2.2924,5.0478,5.5476
48,,,,,,2.2939,5.0511,3.7093
49,,,,,,2.2957,5.0548,2.1876
50,,,,,,2.2984,5.0603,0.2943
51,,,,,,-2.8247,5.6896,0.1508
52,,,,,,-2.9252,5.6863,2.3989
53,,,,,,-2.9917,5.6861,4.1538
54,,,,,,-2.9901,5.683,6.329
55,,,,,,-2.9891,5.681,8.853
56,,,,,,-2.674,5.6863,8.6927
