Point Id	Easting	Northing	Elevation	Code	
DEFAULT21					
1	0.0000	5.6060	1.4236		
2	-0.5627	-0.7827	0.0077		
3	-0.5353	-0.7859	0.0060		
4	-0.5465	-0.7833	0.0092		
5	-0.5403	-0.8746	-0.0020		
6	-0.4793	-0.7411	-0.0061		
7	-0.6519	-0.8355	-0.0087		
8	-0.5397	-0.8801	-0.0091		
9	-0.4920	-0.8241	9.0573		
10	-0.3328	-0.9004	9.0558		
11	-0.3645	-0.7592	9.0569		
12	-2.7701	6.3226	0.7342		
13	-2.7648	6.3105	2.4906		
14	-2.7594	6.2976	4.7802		
15	-2.7561	6.2905	6.1558		
16	-2.7571	6.2924	7.5797		
17	-2.7600	6.2985	8.7794		
18	-2.2764	6.3044	8.7453		
19	-2.2731	6.2946	7.1423		
20	-2.2708	6.2886	5.9260		
21	-2.2731	6.2948	4.9355		
22	-2.2773	6.3068	3.1924		
23	-2.2800	6.3147	1.6806		
24	-0.6855	6.3258	0.0998		
25	-0.6847	6.3191	1.8556		
26	-0.6840	6.3123	3.8956		
27	-0.6834	6.3073	5.5281		
28	-0.6828	6.2983	7.3735		
29	-0.6825	6.2962	8.7822		
30	-0.3841	6.2898	8.7614		
31	-0.3844	6.2968	7.1975		
32	-0.3851	6.3088	5.5916		
33	-0.3855	6.3143	4.0640		
34	-0.3857	6.3192	2.6121		
35	-0.3859	6.3233	0.9896		
36	1.0722	6.3333	0.2453		
37	1.0702	6.3222	2.2571		
38	1.0687	6.3135	3.5828		
39	1.0677	6.3075	5.2679		
40	1.0673	6.3059	6.9352		
41	1.0670	6.3054	8.6324		
42	1.5056	6.3079	6.7963		
43	1.5062	6.3097	5.4987		
44	1.5074	6.3157	3.8871		
45	1.5101	6.3256	2.0321		
46	1.5118	6.3324	0.2766		
47	2.9753	6.3032	7.3769		
48	2.9767	6.3058	6.3389		
49	2.9787	6.3102	4.4580		
50	2.9851	6.3235	2.3185		
51	2.9913	6.3362	0.1833		
52	3.4013	6.3241	0.7623		
53	3.3944	6.3124	2.8148		
54	3.3910	6.3060	4.3009		
55	3.3897	6.3038	6.6451		
56	2.5082	5.6234	0.2126		
57	2.5067	5.6188	1.3601		
58	2.5011	5.6077	3.4789		
59	2.4969	5.5993	5.1381		
60	2.4940	5.5921	7.3214		
61	1.9745	5.5921	7.0625		
62	1.9777	5.6012	5.6775		
63	1.9798	5.6068	4.0220		
64	1.9822	5.6134	2.2213		
65	1.9840	5.6179	0.3891		
66	0.5691	5.6216	0.4432		
67	0.5685	5.6150	1.7578		
68	0.5673	5.6046	3.3510		
69	0.5665	5.5963	5.0354		
70	0.5656	5.5872	6.8341		
71	0.5652	5.5855	8.6145		
72	0.0662	5.5783	8.5690		
73	0.0666	5.5879	6.9278		
74	0.0667	5.5948	5.5857		
75	0.0669	5.6016	4.1577		
76	0.0671	5.6102	2.3029		
77	0.0672	5.6131	0.2665		
78	-1.3562	5.6094	0.6926		
79	-1.3544	5.6023	2.4395		
80	-1.3521	5.5922	3.8200		
81	-1.3509	5.5867	5.6237		
82	-1.3521	5.5908	7.7102		
83	-1.3524	5.5926	8.7376		
84	-1.7772	5.5961	8.8724		
85	-1.7744	5.5876	7.1141		
86	-1.7741	5.5865	5.2973		
87	-1.7766	5.5945	3.9190		
88	-1.7793	5.6034	2.4698		
89	-1.7824	5.6132	0.7013		
90	-3.1922	5.5962	1.9114		
91	-3.1885	5.5895	2.8832		
92	-3.1842	5.5822	4.1244		
93	-3.1824	5.5792	5.4351		
94	-3.1822	5.5789	6.8373		
95	-3.1838	5.5811	8.6974		
96	-3.5534	5.5921	8.7795		
97	-3.5506	5.5874	7.3649		
98	-3.5455	5.5795	5.6715		
99	-3.5512	5.5887	4.0990		
100	-3.5564	5.5970	3.0502		
101	-3.5602	5.6029	1.8427		
102	-3.7148	5.5374	8.6801		
103	-3.7092	5.5288	7.1667		
104	-3.7039	5.5209	5.5328		
105	-3.6993	5.5142	3.8305		
106	-3.7006	5.5163	2.8438		
107	-3.6977	5.5122	1.9220		
108	-3.7023	5.3723	1.8799		
109	-3.7049	5.3762	3.2274		
110	-3.7082	5.3803	4.7751		
111	-3.7117	5.3854	6.2950		
112	-3.7149	5.3898	7.8088		
113	-3.7175	5.3940	8.7222		
114	-4.0482	3.7480	2.1440		
115	-4.0516	3.7510	3.5595		
116	-4.0567	3.7558	4.8780		
117	-4.0672	3.7654	6.4723		
118	-4.0774	3.7747	8.0377		
119	-4.0823	3.7793	8.8107		
120	-4.0447	3.5854	1.9692		
121	-4.0503	3.5900	3.7612		
122	-4.0563	3.5954	5.2057		
123	-4.0686	3.6064	6.9234		
124	-4.0771	3.6136	8.0243		
125	-4.0833	3.6192	8.8557		
126	-4.0430	1.8110	0.2880		
127	-4.0490	1.8135	1.9593		
128	-4.0568	1.8170	4.2306		
129	-4.0636	1.8198	5.6006		
130	-4.0702	1.8228	7.1215		
131	-4.0831	1.8284	8.6810		
132	-4.0829	1.4181	8.6357		
133	-4.0713	1.4142	7.0624		
134	-4.0617	1.4108	5.4389		
135	-4.0522	1.4078	3.6250		
136	-4.0477	1.4065	2.0335		
137	-4.0402	1.4040	0.2899		
138	-4.0384	-0.0600	0.3537		
139	-4.0425	-0.0600	2.0496		
140	-4.0455	-0.0601	3.5761		
141	-4.0537	-0.0603	5.1969		
142	-4.0624	-0.0604	6.9527		
143	-4.0762	-0.0608	8.7682		
144	-4.0702	-0.5133	8.6763		
145	-4.0612	-0.5121	7.1392		
146	-4.0611	-0.5120	5.9308		
147	-4.0523	-0.5108	4.6051		
148	-4.0441	-0.5098	2.8641		
149	-4.0378	-0.5089	0.4147		
150	-4.0432	-1.9816	1.9521		
151	-4.0455	-1.9828	3.1420		
152	-4.0515	-1.9859	4.4817		
153	-4.0579	-1.9892	5.9465		
154	-4.0684	-1.9943	7.6502		
155	-4.0680	-1.9941	8.8098		
156	-4.0718	-2.4403	8.8050		
157	-4.0596	-2.4329	7.4452		
158	-4.0510	-2.4277	5.7103		
159	-4.0471	-2.4254	3.9002		
160	-4.0415	-2.4217	2.4599		
161	-4.0407	-2.4213	1.9904		
162	-4.0436	-4.3137	1.8729		
163	-4.0444	-4.3144	3.1804		
164	-4.0518	-4.3218	4.7390		
165	-4.0494	-4.3194	6.4382		
166	-4.0551	-4.3256	7.9700		
167	-4.0565	-4.3272	8.7269		
168	-3.3481	4.6293	1.8987		
169	-3.3510	4.6333	3.0613		
170	-3.3570	4.6415	4.3516		
171	-3.3623	4.6487	5.9929		
172	-3.3683	4.6569	7.5038		
173	-3.3652	4.6526	8.7501		
174	-3.3677	4.2346	8.7373		
175	-3.3610	4.2261	7.4136		
176	-3.3522	4.2151	5.8989		
177	-3.3434	4.2042	4.3621		
178	-3.3387	4.1986	2.6951		
179	-3.3306	4.1883	0.3923		
180	-3.3292	2.8131	0.5056		
181	-3.3347	2.8175	1.8556		
182	-3.3359	2.8186	3.5342		
183	-3.3444	2.8258	5.3530		
184	-3.3602	2.8393	7.1460		
185	-3.3712	2.8484	8.7235		
186	-3.3717	2.3013	8.8524		
187	-3.3593	2.2930	7.2301		
188	-3.3535	2.2891	5.7667		
189	-3.3390	2.2795	3.4901		
190	-3.3367	2.2778	2.0079		
191	-3.3321	2.2748	0.5339		
192	-3.3273	0.8836	0.5677		
193	-3.3352	0.8854	2.0365		
194	-3.3421	0.8872	3.0432		
195	-3.3455	0.8881	4.5682		
196	-3.3560	0.8909	6.0619		
197	-3.3686	0.8941	8.5970		
198	-3.3705	0.4157	8.7299		
199	-3.3629	0.4148	7.6971		
200	-3.3489	0.4132	5.8817		
201	-3.3411	0.4123	4.2565		
202	-3.3329	0.4113	2.3741		
203	-3.3244	0.4104	0.4933		
204	-3.3261	-1.0156	0.4661		
205	-3.3249	-1.0151	1.8509		
206	-3.3311	-1.0171	3.4211		
207	-3.3383	-1.0192	4.8583		
208	-3.3474	-1.0222	6.6427		
209	-3.3589	-1.0258	8.5454		
210	-3.3557	-1.4914	8.6305		
211	-3.3478	-1.4878	6.5778		
212	-3.3402	-1.4843	5.0053		
213	-3.3350	-1.4819	3.5088		
214	-3.3291	-1.4792	1.8903		
215	-3.3261	-1.4109	0.5382		
216	-3.3286	-2.8852	0.6733		
217	-3.3324	-2.8887	2.0638		
218	-3.3347	-2.8907	3.7468		
219	-3.3383	-2.8939	5.2265		
220	-3.3446	-2.8993	7.1406		
221	-3.3545	-2.9081	8.6764		
222	-3.3524	-3.3673	8.6212		
223	-3.3445	-3.3596	7.4630		
224	-3.3342	-3.3489	5.5774		
225	-3.3287	-3.3431	3.7048		
226	-3.3261	-3.3405	2.1020		
227	-3.3213	-3.3356	0.5537		
228	-3.3251	-4.7937	0.4538		
229	-3.3299	-4.8009	2.2620		
230	-3.3329	-4.8051	3.7493		
231	-3.3389	-4.8138	5.2552		
232	-3.3432	-4.8201	7.1307		
233	-3.3468	-4.8254	8.5855		
234	-3.3148	-6.6887	0.3956		
235	-3.3250	-6.7096	1.9520		
236	-3.3317	-6.7234	3.4216		
237	-3.3452	-6.7512	5.6125		
238	-3.3530	-6.7673	7.3210		
239	-3.3551	-6.7707	8.6944		
240	-3.3626	-7.1878	8.7545		
241	-3.3588	-7.1793	7.1959		
242	-3.3482	-7.1567	5.5907		
243	-3.3408	-7.1406	4.0431		
244	-3.3299	-7.1168	2.3188		
245	-3.3150	-7.0853	0.4311		
246	-3.6946	-8.1381	8.8356		
247	-3.6791	-8.1039	7.0888		
248	-3.6688	-8.0806	5.0558		
249	-3.6648	-8.0718	3.3973		
250	-3.6621	-8.0661	2.0331		
251	-3.6876	-8.1224	0.3807		
252	-3.6601	-8.2507	0.2451		
253	-3.6602	-8.2506	2.0142		
254	-3.6629	-8.2574	3.8298		
255	-3.6666	-8.2653	6.2155		
256	-3.6802	-8.2953	7.5679		
257	-3.6907	-8.3199	8.6584		
258	-3.5697	-8.3792	8.7626		
259	-3.5724	-8.3854	7.3842		
260	-3.5748	-8.3908	5.8644		
261	-3.5687	-8.3772	4.2630		
262	-3.5644	-8.3660	2.8034		
263	-3.5607	-8.3579	1.8130		
264	-3.1490	-8.3578	1.8067		
265	-3.1517	-8.3647	3.0546		
266	-3.1536	-8.3686	4.6707		
267	-3.1572	-8.3784	6.2954		
268	-3.1502	-8.3590	7.8043		
269	-3.1595	-8.3853	8.6723		
270	-1.6883	-8.3532	0.5373		
271	-1.6894	-8.3579	2.1702		
272	-1.6902	-8.3627	4.0465		
273	-1.6913	-8.3684	6.1695		
274	-1.6916	-8.3701	7.7809		
275	-1.6911	-8.3696	8.7348		
276	-1.3330	-8.3702	8.6797		
277	-1.3326	-8.3709	6.9087		
278	-1.3327	-8.3700	5.2592		
279	-1.3328	-8.3683	3.8684		
280	-1.3320	-8.3627	2.4163		
281	-1.3310	-8.3559	0.8481		
282	0.2631	-8.3557	0.5261		
283	0.2627	-8.3598	2.2749		
284	0.2625	-8.3622	3.7621		
285	0.2632	-8.3695	6.0038		
286	0.2636	-8.3769	7.7550		
287	0.2637	-8.3771	8.7532		
288	0.5949	-8.3766	8.7634		
289	0.5948	-8.3771	7.4983		
290	0.5949	-8.3746	6.0932		
291	0.5944	-8.3661	4.2271		
292	0.5938	-8.3596	2.1874		
293	0.5933	-8.3534	0.4117		
294	2.0076	-8.3458	0.1539		
295	2.0087	-8.3502	1.6034		
296	2.0107	-8.3579	3.6543		
297	2.0161	-8.3805	6.1258		
298	2.0180	-8.3880	7.0915		
