Point Id	Easting	Northing	Elevation	Code	
DEFAULT22					
1	-0.0000	8.3178	1.3018		
2	0.8668	2.2359	0.0086		
3	0.8716	2.2485	0.0096		
4	0.8730	2.2442	0.0123		
5	0.7960	2.2371	-0.0044		
6	0.8773	2.1489	-0.0041		
7	0.9822	2.2259	-0.0016		
8	1.0442	2.3673	9.0687		
9	0.8412	2.4466	9.0681		
10	0.8881	2.2622	9.0711		
11	-2.9651	8.9904	0.1234		
12	-3.1678	8.9986	2.4224		
13	-3.1219	9.0080	4.7207		
14	-3.1253	9.0180	6.4972		
15	-2.9635	9.0355	7.4942		
16	-2.6046	9.0481	7.4579		
17	-2.5946	9.0135	5.6451		
18	-2.5912	9.0022	3.3412		
19	-2.5897	8.9971	1.6850		
20	-2.5882	8.9928	0.3041		
21	-1.2397	9.0052	0.1461		
22	-1.2415	9.0169	3.1567		
23	-1.2423	9.0224	5.1673		
24	-1.2425	9.0232	6.7524		
25	-0.9004	9.0399	8.8845		
26	-0.7223	9.0444	8.8742		
27	-0.7270	9.1026	6.8464		
28	-0.7215	9.0379	3.9917		
29	-0.7205	9.0245	1.8280		
30	-0.7199	9.0198	0.1342		
31	0.6745	9.0384	0.1285		
32	0.6750	9.0450	2.6511		
33	0.6720	9.0040	4.9638		
34	0.6752	9.0511	7.2553		
35	0.6761	9.0642	8.5405		
36	1.0062	9.0958	8.5446		
37	1.0021	9.0581	6.2311		
38	1.0014	9.0527	3.9223		
39	1.0019	9.0442	2.1027		
40	1.0006	9.0411	0.3073		
41	2.6071	9.0555	0.2734		
42	2.6087	9.0619	2.8911		
43	2.6106	9.0687	5.3708		
44	2.6138	9.0797	7.4249		
45	2.6168	9.0909	8.8967		
46	3.0904	9.0883	8.9523		
47	3.0870	9.0776	6.5860		
48	3.0859	9.0745	4.2652		
49	3.0853	9.0725	1.9313		
50	3.0859	9.0740	0.2690		
51	-2.2014	8.2754	0.2232		
52	-2.2039	8.2842	1.9280		
53	-2.2068	8.2955	4.1396		
54	-2.2099	8.3068	6.2473		
55	-2.2165	8.3310	7.3913		
56	-1.7517	8.3581	7.2704		
57	-1.7408	8.3056	5.6209		
58	-1.7397	8.3015	3.7826		
59	-1.7380	8.2939	1.7615		
60	-1.7364	8.2859	0.2176		
61	-0.3340	8.3094	0.3152		
62	-0.3346	8.3203	2.7211		
63	-0.3348	8.3280	5.0404		
64	-0.3351	8.3340	7.1534		
65	-0.3348	8.3343	8.7415		
66	0.2200	8.3763	8.7122		
67	0.2194	8.3435	6.1578		
68	0.2191	8.3324	3.4804		
69	0.2185	8.3219	1.6357		
70	0.2184	8.3124	0.2196		
71	1.6539	8.3374	0.3338		
72	1.6557	8.3469	2.7894		
73	1.6680	8.3538	5.1557		
74	1.6817	8.3658	7.2117		
75	1.7119	8.3822	8.9755		
76	2.0877	8.3863	8.9488		
77	2.0592	8.3643	6.7879		
78	2.1491	8.3535	4.8367		
79	2.1453	8.3384	2.0149		
80	2.1442	8.3326	0.4138		
81	3.5114	8.3714	0.3611		
82	3.5119	8.3729	2.7202		
83	3.5129	8.3753	5.4436		
84	3.5140	8.3782	7.5616		
85	3.5162	8.3835	8.9129		
86	3.9179	8.3972	8.9708		
87	3.9083	8.3762	6.2982		
88	3.9049	8.3695	4.4059		
89	3.9058	8.3711	2.7803		
90	3.9073	8.3740	2.0010		
91	3.7361	7.6831	1.9233		
92	3.7416	7.6942	3.3445		
93	3.7433	7.6979	5.1393		
94	3.7401	7.6915	7.0682		
95	3.7308	7.6724	8.5887		
96	3.7216	7.1757	8.5600		
97	3.7330	7.1975	6.2334		
98	3.7377	7.2061	4.6640		
99	3.7414	7.2124	2.9227		
100	3.7363	7.2034	1.9469		
101	3.7523	5.7824	0.2148		
102	3.7527	5.7837	2.5881		
103	3.7480	5.7764	4.5064		
104	3.7397	5.7636	6.6544		
105	3.7535	5.7566	8.6367		
106	3.7449	5.2899	8.7384		
107	3.7498	5.2968	6.4418		
108	3.7564	5.3058	4.3908		
109	3.7594	5.3099	2.2553		
110	3.7581	5.2620	0.1912		
111	3.7926	3.8814	0.1822		
112	3.7894	3.8780	2.5408		
113	3.7816	3.8702	4.7899		
114	3.7727	3.8613	6.6142		
115	3.7630	3.8511	8.7598		
116	3.7753	3.4211	8.7464		
117	3.7737	3.4195	6.2425		
118	3.7868	3.4312	4.1858		
119	3.7895	3.4333	2.3652		
120	3.7949	3.4383	0.2133		
121	3.8128	2.0006	0.1601		
122	3.8071	1.9978	2.3353		
123	3.7959	1.9919	4.7034		
124	3.7924	1.9901	6.8601		
125	3.7904	1.9890	8.5946		
126	3.7850	1.5351	8.6086		
127	3.7951	1.5391	6.8118		
128	3.8042	1.5427	4.2167		
129	3.8111	1.5453	2.2517		
130	3.8198	1.5488	0.7722		
131	3.8403	0.1366	0.2083		
132	3.8258	0.1361	3.0770		
133	3.5884	0.1277	5.5989		
134	3.8096	0.1357	7.1796		
135	3.8124	0.1355	8.8141		
136	3.9814	-0.4167	8.7559		
137	3.9256	-0.4108	6.3680		
138	3.8359	-0.4016	4.4555		
139	3.8688	-0.4055	2.4908		
140	3.8413	-0.4024	0.2204		
141	3.8597	-1.7704	0.1593		
142	3.8514	-1.7666	2.3981		
143	3.8436	-1.7631	4.2873		
144	3.8370	-1.7600	6.4320		
145	3.8292	-1.7564	8.8857		
146	3.8935	-2.2810	8.8108		
147	3.8469	-2.2540	6.7211		
148	3.8519	-2.2570	4.4170		
149	3.8609	-2.2623	2.3983		
150	3.8682	-2.2669	0.1846		
151	3.8850	-3.7932	0.2405		
152	3.8871	-3.7953	2.3272		
153	3.8811	-3.6891	4.3259		
154	3.8765	-3.6845	6.3359		
155	3.8647	-3.6733	8.8425		
156	3.8748	-4.0961	8.8149		
157	3.8877	-4.1099	6.4231		
158	3.8871	-4.1094	3.9736		
159	3.8917	-4.1149	2.0775		
160	3.8913	-4.1140	0.1756		
161	4.4885	4.8982	0.1652		
162	4.4835	4.8928	2.7970		
163	4.4777	4.8865	5.5234		
164	4.4693	4.8775	7.5922		
165	4.4646	4.8724	8.9790		
166	4.4642	4.8175	8.9318		
167	4.4718	4.8258	6.7165		
168	4.4806	4.8351	4.3306		
169	4.4837	4.8384	2.3317		
170	4.4882	4.8246	0.1996		
171	4.5161	2.9746	0.0694		
172	4.5049	2.9674	2.7570		
173	4.4948	2.9608	4.8610		
174	4.4919	2.9589	6.9247		
175	4.4929	2.9594	8.8932		
176	4.5101	2.5724	8.9057		
177	4.4976	2.5653	6.8718		
178	4.4992	2.5661	4.2903		
179	4.5099	2.5712	2.3099		
180	4.5169	2.5758	0.1172		
181	4.5360	1.0943	0.1343		
182	4.5198	1.0904	2.4266		
183	4.5205	1.0908	4.6618		
184	4.5109	1.0886	6.4172		
185	4.5108	1.0886	8.8349		
186	4.5188	0.6013	8.9339		
187	4.5155	0.6008	6.4457		
188	4.5267	0.6022	3.8029		
189	4.5352	0.6031	1.9996		
190	4.5431	0.6041	0.1212		
191	4.5603	-0.8215	0.1565		
192	4.5513	-0.8199	2.5161		
193	4.5013	-0.8109	4.5512		
194	4.5375	-0.8172	6.9911		
195	4.5307	-0.8159	8.8634		
196	4.5370	-1.2698	8.9632		
197	4.5762	-1.2808	6.5532		
198	4.5697	-1.2791	4.1655		
199	4.5567	-1.2756	2.2479		
200	4.5638	-1.2778	0.0943		
201	4.5815	-2.9128	0.1271		
202	4.5751	-2.9089	2.6353		
203	4.5673	-2.9038	4.8027		
204	4.5596	-2.8987	6.7873		
205	4.5547	-2.8961	8.8019		
206	4.5625	-3.2145	8.7181		
207	4.5636	-3.2154	6.2118		
208	4.5748	-3.2234	4.0880		
209	4.5812	-3.2281	2.0676		
210	4.5828	-3.1365	0.1669		
211	4.2354	-4.7248	1.6567		
212	4.2347	-4.7239	3.7560		
213	4.2301	-4.7186	5.8321		
214	4.2283	-4.7165	7.4207		
215	4.2181	-4.7051	8.9856		
216	4.2178	-4.8171	9.0009		
217	4.2321	-4.8336	7.0057		
218	4.2371	-4.8393	4.8978		
219	4.2333	-4.8351	3.3165		
220	4.2333	-4.8353	1.6513		
221	4.0666	-4.9104	0.1884		
222	4.1522	-4.9007	3.1799		
223	4.1450	-4.8921	5.5263		
224	4.1395	-4.8857	7.7025		
225	4.1396	-4.8854	8.8831		
226	3.9657	-4.8909	8.9289		
227	3.9665	-4.8921	6.8585		
228	4.0012	-4.9353	4.9202		
229	3.9714	-4.8986	2.9380		
230	3.9804	-4.9100	0.1570		
231	2.3196	-4.9340	0.1129		
232	2.3126	-4.9188	3.0915		
233	2.3063	-4.9052	5.3060		
234	2.3036	-4.8991	7.0358		
235	2.3046	-4.9013	8.8633		
236	1.7735	-4.9079	8.8814		
237	1.7850	-4.9393	6.9453		
238	1.7797	-4.9247	3.8632		
239	1.7812	-4.9294	2.0879		
240	1.9152	-4.9352	0.1010		
241	0.3435	-4.9511	0.1161		
242	0.3430	-4.9436	2.7313		
243	0.3424	-4.9329	4.9739		
244	0.3414	-4.9186	6.9267		
245	0.3384	-4.9103	8.7615		
246	-0.0603	-4.9217	8.8614		
247	-0.0604	-4.9259	6.9451		
248	-0.0606	-4.9350	4.9360		
249	-0.0608	-4.9479	2.2876		
250	-0.0612	-4.9616	0.1560		
251	-1.5279	-4.9638	0.5043		
252	-1.5266	-4.9606	2.2664		
253	-1.5260	-4.9586	4.4054		
254	-1.5262	-4.9592	7.0189		
255	-1.5244	-4.9528	7.4531		
256	-1.9322	-4.9580	7.5646		
257	-1.9356	-4.9667	6.9660		
258	-1.9361	-4.9674	3.4388		
259	-1.9304	-4.9562	1.1980		
260	-1.5405	-4.9636	0.4491		
261	3.2511	-4.2047	0.1100		
262	3.2452	-4.1969	3.0075		
263	3.2357	-4.1844	5.6331		
264	3.2414	-4.1919	7.6965		
265	3.2425	-4.1956	8.9243		
266	2.7469	-4.1998	8.7338		
